program,flag,time_compile,time_run
spectral,no-flag,89,545
spectral,no-flag,100,513
spectral,no-flag,107,531
spectral,no-flag,90,549
spectral,no-flag,99,538
spectral,no-flag,89,542
spectral,no-flag,93,543
spectral,no-flag,99,504
spectral,no-flag,127,526
spectral,no-flag,95,509
spectral,no-flag,105,526
spectral,no-flag,91,502
spectral,no-flag,97,515
spectral,no-flag,104,534
spectral,no-flag,73,507
spectral,no-flag,80,532
spectral,no-flag,101,509
spectral,no-flag,85,534
spectral,no-flag,105,545
spectral,no-flag,98,507
spectral,no-flag,70,531
spectral,no-flag,78,551
spectral,no-flag,87,509
spectral,no-flag,83,536
spectral,no-flag,76,546
spectral,no-flag,79,544
spectral,no-flag,85,510
spectral,no-flag,86,538
spectral,no-flag,83,549
spectral,no-flag,80,504
spectral,no-flag,81,514
spectral,no-flag,80,538
spectral,no-flag,86,548
spectral,no-flag,85,509
spectral,no-flag,87,510
spectral,no-flag,80,514
spectral,no-flag,78,535
spectral,no-flag,88,543
spectral,no-flag,85,546
spectral,no-flag,83,546
spectral,no-flag,130,550
spectral,no-flag,57,548
spectral,no-flag,81,509
spectral,no-flag,83,537
spectral,no-flag,87,546
spectral,no-flag,88,542
spectral,no-flag,80,546
spectral,no-flag,69,508
spectral,no-flag,95,525
spectral,no-flag,85,545
spectral,no-flag,82,536
spectral,no-flag,81,543
spectral,no-flag,83,509
spectral,no-flag,90,538
spectral,no-flag,100,509
spectral,no-flag,88,523
spectral,no-flag,78,508
spectral,no-flag,81,525
spectral,no-flag,79,508
spectral,no-flag,96,507
spectral,no-flag,75,513
spectral,no-flag,82,520
spectral,no-flag,87,519
spectral,no-flag,85,524
spectral,no-flag,86,511
spectral,no-flag,78,505
spectral,no-flag,87,511
spectral,no-flag,80,523
spectral,no-flag,81,507
spectral,no-flag,80,536
spectral,no-flag,83,546
spectral,no-flag,96,545
spectral,no-flag,83,553
spectral,no-flag,81,500
spectral,no-flag,82,561
spectral,no-flag,85,539
spectral,no-flag,53,506
spectral,no-flag,88,520
spectral,no-flag,79,542
spectral,no-flag,81,508
spectral,no-flag,85,516
spectral,no-flag,78,536
spectral,no-flag,84,549
spectral,no-flag,80,548
spectral,no-flag,80,534
spectral,no-flag,84,543
spectral,no-flag,82,544
spectral,no-flag,96,499
spectral,no-flag,86,533
spectral,no-flag,99,543
spectral,no-flag,83,535
spectral,no-flag,87,549
spectral,no-flag,84,546
spectral,no-flag,84,555
spectral,no-flag,78,549
spectral,no-flag,83,531
spectral,no-flag,83,542
spectral,no-flag,82,540
spectral,no-flag,88,498
spectral,no-flag,86,507
spectral,O1,106,350
spectral,O1,89,352
spectral,O1,89,350
spectral,O1,92,346
spectral,O1,98,352
spectral,O1,88,348
spectral,O1,96,355
spectral,O1,92,359
spectral,O1,92,355
spectral,O1,111,361
spectral,O1,88,368
spectral,O1,89,359
spectral,O1,89,345
spectral,O1,85,341
spectral,O1,92,343
spectral,O1,88,348
spectral,O1,89,334
spectral,O1,92,332
spectral,O1,93,343
spectral,O1,94,328
spectral,O1,94,329
spectral,O1,92,341
spectral,O1,88,343
spectral,O1,91,337
spectral,O1,91,331
spectral,O1,95,335
spectral,O1,90,331
spectral,O1,87,356
spectral,O1,97,394
spectral,O1,89,363
spectral,O1,87,327
spectral,O1,119,339
spectral,O1,91,350
spectral,O1,108,328
spectral,O1,94,349
spectral,O1,94,345
spectral,O1,88,353
spectral,O1,89,336
spectral,O1,88,352
spectral,O1,92,333
spectral,O1,94,352
spectral,O1,97,369
spectral,O1,89,359
spectral,O1,96,350
spectral,O1,96,343
spectral,O1,86,362
spectral,O1,94,347
spectral,O1,87,347
spectral,O1,99,346
spectral,O1,96,349
spectral,O1,92,353
spectral,O1,91,343
spectral,O1,67,345
spectral,O1,211,357
spectral,O1,117,341
spectral,O1,93,327
spectral,O1,90,348
spectral,O1,90,327
spectral,O1,90,338
spectral,O1,88,350
spectral,O1,96,353
spectral,O1,93,352
spectral,O1,65,346
spectral,O1,117,360
spectral,O1,87,359
spectral,O1,88,331
spectral,O1,95,330
spectral,O1,71,327
spectral,O1,128,338
spectral,O1,90,347
spectral,O1,94,327
spectral,O1,96,331
spectral,O1,93,327
spectral,O1,96,338
spectral,O1,95,345
spectral,O1,89,329
spectral,O1,95,334
spectral,O1,107,335
spectral,O1,92,335
spectral,O1,88,327
spectral,O1,65,336
spectral,O1,104,326
spectral,O1,108,331
spectral,O1,132,327
spectral,O1,87,347
spectral,O1,69,329
spectral,O1,104,346
spectral,O1,97,355
spectral,O1,94,347
spectral,O1,84,343
spectral,O1,126,329
spectral,O1,69,346
spectral,O1,125,330
spectral,O1,70,334
spectral,O1,121,343
spectral,O1,109,356
spectral,O1,92,355
spectral,O1,96,346
spectral,O1,120,348
spectral,O1,117,356
spectral,O2,160,152
spectral,O2,78,154
spectral,O2,96,155
spectral,O2,84,154
spectral,O2,76,155
spectral,O2,105,146
spectral,O2,101,148
spectral,O2,87,146
spectral,O2,105,148
spectral,O2,76,146
spectral,O2,77,150
spectral,O2,105,146
spectral,O2,138,152
spectral,O2,134,149
spectral,O2,112,153
spectral,O2,103,146
spectral,O2,131,151
spectral,O2,120,146
spectral,O2,117,147
spectral,O2,103,151
spectral,O2,134,147
spectral,O2,117,148
spectral,O2,122,149
spectral,O2,114,146
spectral,O2,122,151
spectral,O2,107,157
spectral,O2,121,150
spectral,O2,119,146
spectral,O2,112,151
spectral,O2,123,154
spectral,O2,100,155
spectral,O2,116,152
spectral,O2,137,154
spectral,O2,112,146
spectral,O2,118,146
spectral,O2,134,146
spectral,O2,116,150
spectral,O2,119,155
spectral,O2,118,154
spectral,O2,113,146
spectral,O2,116,146
spectral,O2,120,149
spectral,O2,118,153
spectral,O2,113,147
spectral,O2,120,152
spectral,O2,111,147
spectral,O2,135,152
spectral,O2,116,150
spectral,O2,129,154
spectral,O2,86,146
spectral,O2,115,153
spectral,O2,113,146
spectral,O2,113,153
spectral,O2,129,147
spectral,O2,114,153
spectral,O2,111,146
spectral,O2,116,153
spectral,O2,126,146
spectral,O2,119,151
spectral,O2,111,156
spectral,O2,119,147
spectral,O2,82,149
spectral,O2,121,150
spectral,O2,121,151
spectral,O2,119,147
spectral,O2,120,152
spectral,O2,133,150
spectral,O2,100,146
spectral,O2,102,152
spectral,O2,118,150
spectral,O2,90,155
spectral,O2,112,154
spectral,O2,115,156
spectral,O2,117,156
spectral,O2,115,152
spectral,O2,122,154
spectral,O2,122,154
spectral,O2,109,155
spectral,O2,101,146
spectral,O2,119,149
spectral,O2,125,153
spectral,O2,119,151
spectral,O2,112,154
spectral,O2,117,147
spectral,O2,134,148
spectral,O2,118,151
spectral,O2,111,147
spectral,O2,111,146
spectral,O2,119,148
spectral,O2,120,153
spectral,O2,115,146
spectral,O2,116,146
spectral,O2,124,149
spectral,O2,114,153
spectral,O2,121,151
spectral,O2,114,154
spectral,O2,110,151
spectral,O2,132,154
spectral,O2,119,155
spectral,O2,108,146
spectral,O3,213,165
spectral,O3,136,147
spectral,O3,146,148
spectral,O3,149,149
spectral,O3,139,151
spectral,O3,130,150
spectral,O3,137,148
spectral,O3,127,148
spectral,O3,142,149
spectral,O3,135,148
spectral,O3,109,151
spectral,O3,141,148
spectral,O3,143,147
spectral,O3,133,150
spectral,O3,136,148
spectral,O3,143,148
spectral,O3,145,151
spectral,O3,139,148
spectral,O3,136,148
spectral,O3,139,147
spectral,O3,118,147
spectral,O3,114,150
spectral,O3,113,155
spectral,O3,118,148
spectral,O3,117,149
spectral,O3,148,148
spectral,O3,140,151
spectral,O3,142,156
spectral,O3,362,158
spectral,O3,468,157
spectral,O3,279,157
spectral,O3,392,157
spectral,O3,472,158
spectral,O3,380,155
spectral,O3,407,153
spectral,O3,168,152
spectral,O3,147,149
spectral,O3,140,147
spectral,O3,174,147
spectral,O3,130,150
spectral,O3,140,151
spectral,O3,169,151
spectral,O3,120,149
spectral,O3,157,151
spectral,O3,151,152
spectral,O3,177,156
spectral,O3,153,157
spectral,O3,140,158
spectral,O3,137,157
spectral,O3,137,162
spectral,O3,136,157
spectral,O3,132,154
spectral,O3,175,150
spectral,O3,150,164
spectral,O3,141,161
spectral,O3,134,158
spectral,O3,142,161
spectral,O3,137,162
spectral,O3,137,155
spectral,O3,141,152
spectral,O3,137,158
spectral,O3,136,157
spectral,O3,142,161
spectral,O3,135,160
spectral,O3,136,164
spectral,O3,139,160
spectral,O3,139,163
spectral,O3,138,157
spectral,O3,135,158
spectral,O3,152,158
spectral,O3,138,159
spectral,O3,127,163
spectral,O3,161,161
spectral,O3,142,161
spectral,O3,136,160
spectral,O3,116,158
spectral,O3,139,158
spectral,O3,142,165
spectral,O3,144,163
spectral,O3,121,164
spectral,O3,111,162
spectral,O3,140,162
spectral,O3,137,159
spectral,O3,134,161
spectral,O3,137,160
spectral,O3,130,154
spectral,O3,140,170
spectral,O3,136,177
spectral,O3,120,162
spectral,O3,141,162
spectral,O3,137,159
spectral,O3,143,162
spectral,O3,135,151
spectral,O3,138,155
spectral,O3,143,160
spectral,O3,138,163
spectral,O3,139,165
spectral,O3,138,165
spectral,O3,127,158
spectral,O3,143,161
spectral,Os,148,342
spectral,Os,80,343
spectral,Os,92,348
spectral,Os,113,367
spectral,Os,84,359
spectral,Os,84,337
spectral,Os,88,360
spectral,Os,89,338
spectral,Os,90,351
spectral,Os,94,352
spectral,Os,93,348
spectral,Os,87,392
spectral,Os,120,365
spectral,Os,85,363
spectral,Os,115,405
